Number	Text	Original text in English (This column is ignored during the import)
501402	Você deve fechar as portas antes de mudar as fechaduras.	You must close the doors before changing the locks.
501403	Você não tem espaço suficiente em sua mochila para a chave!	You don't have enough room in your backpack for the key!
501404	Você não tem espaço suficiente na sua bankbox para a chave!	You don't have enough room in your bankbox for the key!
501405	Você colocar um cadeado na porta. Novas chaves foram colocadas em sua mochila e caixa de banco.	You place a lock on the door.  New keys have been placed in your backpack and bank box.
501406	Falha ao criar porta com fechadura interior!	Failed to create interior lockable door!
501407	Acção cancelada.	Cancelled action.
501408	Você não pode colocar um cofre.	You may not place a strongbox.
501409	Você não pode colocar um cofre.	You may not place a strongbox.
501410	Caixa não pode ser criado nesta área.	Housing cannot be created in this area.
501411	Uma casa não pode ser criado aqui.	A house cannot be created here.
501412	Ack, uma chave não pôde ser criado!	Ack, a key could not be created!
501413	Ar, eu não tenho navio!	Ar, I have no ship!
501414	Caramba, eu não tenho navio!	Blimey, I have no ship!
501415	Eu vi nenhum mapa, senhor.	I have seen no map, sir.
501416	O mapa é muito longe de mim, senhor.	The map is too far away from me, sir.
501417	O curso é concluído, senhor.	The course is completed, sir.
501418	Ar, eu não tenho navio!	Ar, I have no ship!
501419	Ar, a âncora é baixo senhor!	Ar, the anchor is down sir!
501420	Ar, colocou a prancha-se amigo!	Ar, put the plank up matey!
501421	Sim senhor.	Yes, sir.
501422	Arr, a água é muito turbulento para transformar senhor!	Arr, the water is too turbulent to turn sir!
501423	Ar, não pode virar senhor.	Ar, can't turn sir.
501424	Ar, nós paramos senhor.	Ar, we've stopped sir.
501425	Ar, água turbulenta!	Ar, turbulent water!
501426	Ar, eu não sei como fazer isso, senhor.	Ar, I don't know how to do that, sir.
501427	Arg, você não está no comando.	Arg, you are not in command.
501428	Ar, este navio não tem nome.	Ar, this ship has no name.
501429	Sim, claro, senhor.	Aye aye sir.
501430	Sim, claro, senhor.	Aye aye sir.
501431	Sim, claro, senhor.	Aye aye sir.
501432	Sim, claro, senhor.	Aye aye sir.
501433	Sim senhor.	Yes, sir.
501434	Sim, claro, senhor.	Aye aye sir.
501435	Sim, claro, senhor.	Aye aye sir.
501436	Sim, claro, senhor.	Aye aye sir.
501437	Sim, claro, senhor.	Aye aye sir.
501438	Sim, claro, senhor.	Aye aye sir.
501439	Este navio agora não tem nome.	This ship now has no name.
501440	Este navio não tem nome.	This ship has no name.
501441	Sim, claro, senhor.	Aye aye sir.
501442	Sim senhor.	Yes sir.
501443	Er, o navio não está se movendo senhor.	Er, the ship is not moving sir.
501444	Ar, âncora caiu senhor.	Ar, anchor dropped sir.
501445	Ar, a âncora já foi descartado senhor.	Ar, the anchor was already dropped sir.
501446	Ar, âncora levantada senhor.	Ar, anchor raised sir.
501447	Ar, a âncora não foi descartada senhor.	Ar, the anchor has not been dropped sir.
501448	Sim, claro, senhor.	Aye aye sir.
501449	Sim, claro, senhor.	Aye aye sir.
501450	Sim, claro, senhor.	Aye aye sir.
501451	Sim, claro, senhor.	Aye aye sir.
501452	Sim, claro, senhor.	Aye aye sir.
501453	Sim, claro, senhor.	Aye aye sir.
501454	Sim, claro, senhor.	Aye aye sir.
501455	Sim, claro, senhor.	Aye aye sir.
501456	Sim, claro, senhor.	Aye aye sir.
501457	Sim, claro, senhor.	Aye aye sir.
501458	Sim, claro, senhor.	Aye aye sir.
501459	Sim, claro, senhor.	Aye aye sir.
501460	Sim, claro, senhor.	Aye aye sir.
501461	Sim, claro, senhor.	Aye aye sir.
501462	Sim, claro, senhor.	Aye aye sir.
501463	Sim, claro, senhor.	Aye aye sir.
501464	Sim, claro, senhor.	Aye aye sir.
501465	Sim, claro, senhor.	Aye aye sir.
501466	Sim, claro, senhor.	Aye aye sir.
501467	Sim, claro, senhor.	Aye aye sir.
501468	Sim, claro, senhor.	Aye aye sir.
501469	Sim, claro, senhor.	Aye aye sir.
501470	Sim, claro, senhor.	Aye aye sir.
501471	Sim, claro, senhor.	Aye aye sir.
501472	Ar, que não é um mapa, tis mas um pedaço de papel em branco!	Ar, that is not a map, tis but a blank piece of paper!
501473	Arrrr, este mapa não tem curso sobre ele!	Arrrr, this map has no course on it!
501474	Um mapa!	A map!
501475	Rrrrr, eu não quero isso! Mostre-me um mapa!	Rrrrr, I don't want that!  Show me a map!
501476	Não é mais uma lata de lixo!	No longer a trash barrel!
501477	Apenas um amigo da casa pode usar-me!	Only a friend of the house can use me!
501478	O lixo está cheio! Esvaziamento!	The trash is full!  Emptying!
501479	Esvaziando a lixeira!	Emptying the trashcan!
501480	Não é mais uma lata de lixo!	No longer a trash barrel!
501481	Parece não listar todas as portas.	Appears to not list any doors.
501482	Estou lutando muito ocupado para lidar contigo!	I am too busy fighting to deal with thee!
501483	gatilho convo padrão de execução.	Standard convo trigger executing.
501484	convo Falha de frente para verificação	Failed convo facing check
501485	Eu reconheço-te!	I recognize thee!
501486	Respondendo agora.	Responding now.
501487	Você está de pé muito perto, ir embora.	You're standing too close, go away.
501488	Foste pé ao meu lado um tempo muito longo.	Thou hast been standing next to me an awfully long time.
501489	Nada nas proximidades para limpar.	Nothing nearby to scavenge.
501490	Scavenge callback a sair.	Scavenge callback going off.
501491	executando doScavenge ()	running doScavenge()
501492	Veja o que encontrei aqui!	Look what I found here!
501493	Eu encontrei algo para limpar ...	I found something to scavenge...
501494	Olá, eu reconhecê-lo.	Hello, I recognize you.
501495	Eu reconheço-te!	I recognize thee!
501496	Inicializar o comportamento necrófago.	Initializing scavenger behavior.
501497	Definir meu local de trabalho.	Setting my job location.
501498	Inicializar o comportamento necrófago.	Initializing scavenger behavior.
501499	Definir meu local de trabalho.	Setting my job location.
501500	Fazendo minha atividade de trabalho.	Doing my job activity.
501501	Sinto falta do meu local de trabalho.	I am missing my job location.
501502	Estou muito ocupado para te ensinar.	I am too busy to teach thee.
501503	Eu não treinar enquanto eu estou trabalhando.	I do not train whilst I am working.
501504	Todos os slots de habilidade conhecidos ...	All known skill slots...
501505	Infelizmente, eu não posso ensinar-te nada.	Alas, I cannot teach thee anything.
501506	De alguma forma, eu reconheci uma palavra-chave de habilidade, mas não vê-lo pela segunda vez eu verifiquei ...	Somehow I recognized a skill keyword but didn't see it the second time I checked...
501507	Tis não algo que eu posso ensinar-te de.	'Tis not something I can teach thee of.
501508	Eu não posso te ensinar, pois tu sabes mais do que eu!	I cannot teach thee, for thou knowest more than I!
501509	Eu não posso te ensinar, pois tu sabes tudo o que posso ensinar!	I cannot teach thee, for thou knowest all I can teach!
501510	Certifique-se esta habilidade está marcada para levantar. Se você estiver perto os cap habilidade (700 pontos), você pode precisar de perder alguns pontos em uma outra habilidade em primeiro lugar.	Make sure this skill is marked to raise. If you are near the skill cap (700 points) you may need to lose some points in another skill first.
501511	Eu não me atreveria a te ensinar alguma coisa!	I wouldn't presume to teach thee anything!
501512	Tu não aprendeu o suficiente em outras maneiras de ser ensinado esta habilidade.	Thou hast not learned enough of other ways to be taught this skill.
501513	Eu reconheço esse nome!	I recognize that name!
501514	Orador perguntou sobre si mesmo.	Speaker asked about himself.
501515	Encontrei algo!	Found something!
501516	Com licença?	Excuse me?
501517	Sendo perguntado onde algo é.	Being asked where something is.
501518	Perguntado sentido para lugar nenhum eu reconheço.	Asked direction to nowhere I recognize.
501519	Eu não sei onde encontrar esse.	I know not where to find that.
501520	Eu tinha acabado de valor minha necessidade.	I had just stored my need.
501521	Estou aberto a partir das cinco da manhã até as onze da noite.	I am open from five in the morn until eleven at night.
501522	Eu não deve tratar com escumalha como tu!	I shall not treat with scum like thee!
501523	Eu não deve tratar com escumalha como tu!	I shall not treat with scum like thee!
501524	Eu não deve tratar com escumalha como tu!	I shall not treat with scum like thee!
501525	Lamento, eu não tenho minhas mercadorias aqui comigo. Vamos voltar para a minha loja.	I am sorry, I do not have my wares here with me. Let us go back to my shop.
501526	Infelizmente, eu não tenho nenhuma loja! Eu não posso fazer negócios contigo.	Alas, I have no shop! I cannot do business with thee.
501527	O horário é das cinco da manhã até as onze da noite.	Hours are from five in the morn until eleven at night.
501528	Como thou'rt da minha mesma guilda, vou descontar minhas mercadorias a ti.	As thou'rt of my same guild, I shall discount my wares to thee.
501529	És tu tentando me subornar?	Art thou trying to bribe me?
501530	Eu poderia estar interessado em comprar este de ti.	I might be interested in buying this of thee.
501531	Eu estou ensinando!	I am teaching!
501532	E o autor da questão está aprendendo.	And the asker is learning.
501533	E estamos de acordo sobre o que aprender.	And we agree on what to learn.
501534	Falha ao obter o recurso de ouro no item.	Failed to get gold resource on item.
501535	Eu exijo ouro no pagamento!	I require gold in payment!
501536	Tis mas uma ninharia! Eu exijo 10 de ouro, no mínimo.	'Tis but a pittance! I require 10 gold at a minimum.
501537	E eu estava pago.	And I was paid.
501538	Em excesso, mesmo.	Overpaid, even.
501539	Deixe-me mostrar-te algo de como isso é feito.	Let me show thee something of how this is done.
501540	Seu nível de habilidade aumenta.	Your skill level increases.
501541	Encontrou um jogo alimentos.	Found a food match.
501542	Encontrou um jogo desejo.	Found a desire match.
501543	Graças te dou gentilmente!	Thank thee kindly!
501544	Aceitando item.	Accepting item.
501545	Opa, eu o deixei cair.	Oops, I dropped it.
501546	Opa, eu o deixei cair.	Oops, I dropped it.
501547	Este havendo provado bom.	This tasteth good.
501548	Graças te dou.	I thank thee.
501549	Recusando item.	Refusing item.
501550	Eu não estou interessado nisso.	I am not interested in this.
501551	Parece que o chão está cheio como é a sua mochila.	Seems the ground is cluttered as is your backpack.
501552	Thy pacote parece cheio, por isso vou colocá-lo em seus pés.	Thy pack seems full, so I will put it at your feet.
501553	As tuas mãos estão cheias, por isso aqui 'tis, na sua mochila.	Thy hands are full, so here 'tis, in your backpack.
501554	Parece que o chão está cheio como é a sua mochila.	Seems the ground is cluttered as is your backpack.
501555	Thy pacote parece cheio, por isso vou colocá-lo em seus pés.	Thy pack seems full, so I will put it at your feet.
501556	As tuas mãos estão cheias, por isso aqui 'tis, na sua mochila.	Thy hands are full, so here 'tis, in your backpack.
501557	Estou lembrando	I am remembering 
501558	Começando pausa convo.	Starting convo pause.
501559	Terminando pausa convo.	Ending convo pause.
501560	Não estamos diante de outro.	We are not facing each other.
501561	objetos estáticos no alvo:	Static objects at target:
501562	Você foi suspenso pela Thieves Guild.	You have been suspended by the Thieves Guild.
501563	Este item mágico está fora de encargos.	This magic item is out of charges.
501564	Este item mágico está fora de encargos.	This magic item is out of charges.
501565	Você não pode ver que objeto bem o suficiente para identificá-lo.	You can't see that object well enough to identify it.
501566	Este item mágico está fora de encargos.	This magic item is out of charges.
501567	REL WIS	REL WIS
501568	Por alguma razão, a pessoa ajudando você decidiu adiar a você para outra pessoa.	For whatever reason, the person helping you has decided to defer you to someone else.
501569	O próximo companheiro disponíveis irá ajudá-lo.	The next available companion will assist you.
501570	A pessoa ajudando você foi desconectado do jogo por algum motivo.	The person helping you has disconnected from the game for some reason.
501571	O próximo companheiro disponíveis vai pegar onde parou.	The next available companion will pick up where they left off.
501572	pointPlayerToLocation chamado: 1	pointPlayerToLocation called: 1
501573	A seta deve guiá-lo durante a sua missão.	The arrow shall guide you during your quest.
501574	Sua missão foi cancelada!	Your quest has been cancelled!
501575	Sua missão foi cancelada!	Your quest has been cancelled!
501576	Sua missão foi cancelada!	Your quest has been cancelled!
501577	Sua missão foi cancelada!	Your quest has been cancelled!
501578	Sua missão foi cancelada!	Your quest has been cancelled!
501579	Sua missão foi cancelada!	Your quest has been cancelled!
501580	Tente conversar com os lojistas para saber mais sobre suas habilidades.	Try talking to shopkeepers to learn more about your skills.
501581	Quem você deseja incitar?	Whom do you wish to incite?
501582	O instrumento que você deve tocar a música on?	What instrument shall you play the music on?
501583	Você não pode ver isso.	You cannot see that.
501584	Isso está muito longe.	That is too far away.
501585	Isso está muito longe.	That is too far away.
501586	Isso não é um instrumento musical.	That isn't a musical instrument.
501587	Quem você deseja incitar?	Whom do you wish to incite?
501588	provocações verbais pode ser mais eficaz!	Verbal taunts might be more effective!
501589	Você não pode incitar a isso!	You can't incite that!
501590	Eles são muito leais ao seu mestre para ser provocado.	They are too loyal to their master to be provoked.
501591	Não pense que eu não consigo ver o que fazes!	Think not that I fail to see what thou art doing!
501592	Você ouve a música e são estranhamente irritado ...	You hear the music and are strangely angered...
501593	Você não pode dizer a alguém para atacar-se!	You can't tell someone to attack themselves!
501594	Por causa de seu status de jovem no Britannia você não pode provocar a besta para outro jogador ainda.	Because of your young status in Britannia you cannot provoke the beast onto another player yet.
501595	Você não pode provocar a besta sobre este jogador.	You cannot provoke the beast onto this player.
501596	Você joga bastante mal, e nenhum efeito.	You play rather poorly, and to no effect.
501597	Você rachou seu instrumento.	You cracked your instrument.
501598	Você ouve a música e perceber que o músico está tentando levá-lo com raiva ...!	You hear the music and realize that the musician is trying to get you angry...!
501599	Sua música não para incitar a raiva suficiente.	Your music fails to incite enough anger.
501600	Tu podes me irritou, mas eu não sou estúpido!	Thou mayst have angered me, but I am not stupid!
501601	Sua raiva se aglutina em ódio, e você mover-se para atacar!	Your anger coalesces into hatred, and you move to attack!
501602	Sua música tem sucesso, como você começar uma briga.	Your music succeeds, as you start a fight.
501603	Guardas! Socorro!	Guards! Help!
501604	Incognito não pode ser convertido nisso.	Incognito cannot be cast on that.
501605	Você já está disfarçada.	You are already disguised.
501606	Essa rolagem pertence a outra pessoa.	That scroll belongs to someone else.
501607	Eu não posso ver que rolagem.	I cannot see that scroll.
501608	Você não tem um livro de feitiços.	You don't have a spellbook.
501609	Você não pode inscrever nenhum feitiço.	You can't inscribe any spells.
501610	Esse livro pertence a outra pessoa.	That book belongs to someone else.
501611	Não é possível copiar um livro vazio.	Can't copy an empty book.
501612	Escolha um livro para copiar isso.	Select a book to copy this to.
501613	sourcebook não é nulo.	sourcebook is not null.
501614	Não é possível escrever para aquele livro.	Cannot write into that book.
501615	Não é possível escrever para aquele livro.	Cannot write into that book.
501616	Não é possível copiar um livro sobre si mesmo.	Cannot copy a book onto itself.
501617	Você não conseguir fazer uma cópia do livro.	You fail to make a copy of the book.
501618	Você faz uma cópia do livro.	You make a copy of the book.
501619	Você esperou muito tempo para fazer a sua selecção inscrevem, a tentativa de inscrição expirou.	You have waited too long to make your inscribe selection, your inscription attempt has timed out.
501620	O que você gostaria de inscrever?	What would you like to inscribe?
501621	Alguém está inscrevendo esse item.	Someone else is inscribing that item.
501622	Você não tem os componentes corretos para a criação de um livro de runas.	You did not have the correct components for the creation of a rune book.
501623	Esta runa foi marcado, e não pode ser usado para criar um livro de runas.	This rune has been marked, and cannot be used to craft a rune book.
501624	Não é possível inscrever esse item.	Can't inscribe that item.
501625	Você parece ter perdido o controle de sua rolagem.	You seem to have lost track of your scroll.
501626	Você não tem qualquer espaço em sua mochila para o pergaminho inscrito! Você parar de inscrição.	You do not have any space in your backpack for the inscribed scroll! You stop inscribing.
501627	Falta-lhe os reagentes necessários para inscrever esta mágica.	You lack the necessary reagents to inscribe this spell.
501628	Você deixar de inscrever o livro, e o livro está arruinada.	You fail to inscribe the scroll, and the scroll is ruined.
501629	Você inscrever o feitiço e colocar o rolo na sua mochila.	You inscribe the spell and put the scroll in your backpack.
501630	Você deixar de inscrever o livro, e o livro está arruinada.	You fail to inscribe the scroll, and the scroll is ruined.
501631	Você não conseguiram criar o livro de runas.	You have failed to create the rune book.
501632	Não há espaço suficiente em sua mochila para o livro de runas.	There is not enough room in your backpack for the rune book.
501633	Você criou um livro de runas.	You have created a rune book.
501634	Erro! Este é um bug, por favor denuncie!	Error!  This is a bug, please report it!
501635	Que é bloqueada, mas é utilizável a partir do interior.	That is locked, but is usable from the inside.
501636	Que é bloqueada, mas é utilizável a partir do interior.	That is locked, but is usable from the inside.
501637	Que está bloqueado, mas você abri-lo com seus poderes divinos.	That is locked, but you open it with your godly powers.
501638	Você rapidamente desbloquear, abrir e trancar a porta.	You quickly unlock, open, and relock the door.
501639	Que está bloqueado.	That is locked.
501640	Como um jovem jogador, você não pode lançar feitiços benéficos para os jogadores mais velhos.	As a young player, you may not cast beneficial spells onto older players.
501641	Você não pode fazer um objeto inanimado invisível.	You cannot make an inanimate object invisible.
501642	Você não pode fazer um objeto inanimado invisível.	You cannot make an inanimate object invisible.
501643	trancado	locked down
501644	trancado e seguro	locked down & secure
501645	Esta é uma casa particular.	This is a private home.
501646	Este artigo é seguro, mas seus poderes divinos permitir o acesso.	This item is secure but your Godly powers allow access.
501647	Isso é seguro.	That is secure.
501648	Você não pode usar isto a menos que seja o proprietário.	You cannot use this unless you are the owner.
501649	Esta é uma casa particular.	This is a private home.
501650	Este artigo é seguro, mas seus poderes divinos permitir o acesso.	This item is secure but your Godly powers allow access.
501651	Isso é seguro.	That is secure.
501652	Você não pode usar isto a menos que seja o proprietário.	You cannot use this unless you are the owner.
501653	Você não pode usar isto a menos que seja o proprietário.	You cannot use this unless you are the owner.
501654	Este artigo é seguro, mas seus poderes divinos permitir o acesso.	This item is secure but your Godly powers allow access.
501655	Isso é seguro.	That is secure.
501656	(Não protegido)	(no longer secure)
501657	(Não bloqueado)	(no longer locked down)
501658	Isso é lockeddown	That is lockeddown
501659	Você foi libertado da prisão	You have been released from jail
501660	Esta chave agora desbloqueia:	This key now unlocks:
501661	Essa chave é inacessível.	That key is unreachable.
501662	O que devo usar essa chave em?	What shall I use this key on?
501663	Esta é uma chave em bruto. Qual chave que gostaria de fazer uma cópia de?	This is a key blank.  Which key would you like to make a copy of?
501664	Esta chave abre:	This key unlocks:
501665	Digite uma descrição para esta chave:	Enter a description for this key:
501666	Você não pode desbloquear isso!	You can't unlock that!
501667	Introduzido interior loop de porta com fechadura.	Entered interior lockable door loop.
501668	Esta chave não parece desbloquear isso.	This key doesn't seem to unlock that.
501669	casas públicas são sempre desbloqueado.	Public houses are always unlocked.
501670	Atualmente você não pode desbloquear isso.	You cannot currently unlock that.
501671	Atualmente você não pode bloquear isso.	You cannot currently lock that.
501672	Você desativar a armadilha temporariamente. Bloqueá-lo novamente para reativá-lo.	You disable the trap temporarily.  Lock it again to re-enable it.
501673	Você reativar a armadilha.	You re-enable the trap.
501674	Esta chave é inacessível.	This key is unreachable.
501675	Esta chave também é um espaço em branco.	This key is also a blank.
501676	Você faz uma cópia da chave.	You make a copy of the key.
501677	Você não conseguir fazer uma cópia da chave.	You fail to make a copy of the key.
501678	A chave foi destruído na tentativa.	The key was destroyed in the attempt.
501679	Você não pode fazer uma cópia disso.	You can't make a copy of that.
501680	O que você deseja desbloquear?	What do you want to unlock?
501681	nenhum contêiner na ranhura	no container at slot
501682	não um recipiente	not a container
501683	despejo	dumping
501684	colocar	put
501685	Você abre o chaveiro.	You open the keyring.
501686	entrou mais para tryInteriordoor	entered else for tryInteriordoor
501687	tryInteriorDoor, sucedeu	tryInteriorDoor, succeeded
501688	não uma chave	not a key
501689	Apenas as chaves não-branco pode ser colocado em um chaveiro.	Only non-blank keys can be put on a keyring.
501690	uma chave	a key
501691	Você colocou a chave no chaveiro.	You put the key on the keyring.
501692	Bem-vindo ao fragmento Abyss. Para ver quantos pontos matar você tiver acumulado dizer 'Como muitos pontos de matar tem eu.	Welcome to the Abyss shard.  To see how many kill points you have accumulated say 'How many kill points have I'.
501693	Esta vítima não vale a pena o suficiente para obter pontos da matança de.	This victim is not worth enough to get kill points from. 
501694	Você não pode acender isso, ele pertence a outra pessoa.	You can't ignite that, it belongs to someone else.
501695	Não há um local próximo para colocar a sua fogueira.	There is not a spot nearby to place your campfire.
501696	Você não inflamar a fogueira.	You fail to ignite the campfire.
501697	Você criou com sucesso uma fogueira. Se você esperar por alguns momentos, você receberá uma mensagem indicando que é seguro para você sair. Ter concluído a sua tarefa, siga a volta para a pessoa que enviou nesta busca.	You have successfully created a campfire.  If you wait for a few moments, you will get a message indicating it is safe for you to logout.  You have completed your task, follow the back to the person that sent you on this quest.
501698	Você não pode disfarçar-se enquanto incognitoed.	You cannot disguise yourself while incognitoed.
501699	Você não pode disfarçar-se enquanto polymorphed.	You cannot disguise yourself while polymorphed.
501700	Cheaters nunca ganham.	Cheaters never win.
501701	Cheaters nunca ganham.	Cheaters never win.
501702	Somente os membros da guilda dos ladrões são treinados para usar este item.	Only Members of the thieves guild are trained to use this item.
501703	Você está suspenso da guilda dos ladrões. Eles teriam desaprovam suas ações.	You are currently suspended from the thieves guild.  They would frown upon your actions.
501704	Você não pode disfarçar-se enquanto incognitoed.	You cannot disguise yourself while incognitoed.
501705	Você não pode disfarçar-se enquanto polymorphed.	You cannot disguise yourself while polymorphed.
501706	Disfarces desgastar depois de 2 horas.	Disguises wear off after 2 hours.
501707	Você está bonito.	You're looking good.
501708	I foram desarmados.	I have been disarmed.
501709	I foram recarregados.	I have been reloaded.
501710	A porta não vai ceder.	The door won't budge.
501711	Objetos Aqui:	Objects Here:
501712	Este não é um recipiente!	This isn't a container!
501713	Lockdown Falha	Lockdown Failed
501714	Isso já está seguro!	This is already secure!
501715	Você não pode garantir-lhe a embalagem!	You may not secure this container!
501716	Seguro!	Secure!
501717	Este não é seguro ...	This isn't secure...
501718	Não é mais seguro!	No longer secure!
501719	Isso já está bloqueado para baixo!	This is already locked down!
501720	Você não conseguiu lockdown deste recipiente.	You failed to lockdown this container.
501721	Trancado!	Locked down!
501722	Isto não é bloqueado ...	This isn't locked down...
501723	Você é relatórios de casas 0 bloqueados itens. Por favor comunique este erro na http://www.uo.com/mailBug.html.	You're house reports 0 locked down items.  Please report this bug at http://www.uo.com/mailBug.html.
501724	Este recipiente bloqueou itens nele. Liberá-los em primeiro lugar.	This container has locked down items in it.  Release them first.
501725	Você é casa relata 0 itens seguros. Por favor comunique este erro na http://www.uo.com/mailBug.html	You're house reports 0 secure items.  Please report this bug at http://www.uo.com/mailBug.html
501726	Já não bloqueado!	No longer locked down!
501727	Não é possível bloquear esse baixo!	You cannot lock that down!
501728	Não é possível bloquear esse baixo!	You cannot lock that down!
501729	Este item não pode ser bloqueado.	This item cannot be locked down.
501730	Você não pode lockdown um guildstone.	You cannot lockdown a guildstone.
501731	Você só pode bloquear um objeto em uma casa!	You can only lock down an object in a house!
501732	Eu não pode bloquear esse baixo!	I cannot lock this down!
501733	Você não pode bloquear uma porta!	You cannot lock down a door!
501734	Você só pode bloquear um objeto em uma casa!	You can only lock down an object in a house!
501735	Você deve estar em uma casa você possui!	You must be in a house you own!
501736	Você deve lockdown o recipiente em primeiro lugar!	You must lockdown the container first!
501737	Você não precisa bloquear itens em um recipiente seguro.	You need not lock down items in a secure container.
501738	Você não pode lockdown um cadáver	You cannot lockdown a corpse
501739	Você não pode bloquear este para baixo sob o sinal da casa!	You cannot lock this down under the house sign!
501740	Não é possível bloquear esse baixo perto de uma porta!	You cannot lock this down near a door!
501741	Você não pode bloquear um item próximo escadas ou degraus.	You cannot lock down an item near stairs or steps.
501742	Você atingiu o limite de bloqueio de casa.	You have reached the lockdown limit of this house.
501743	Erro: Não há limite de bloqueio atual!	Error: No current lockdown limit!
501744	Erro: limite de bloqueio é zero!	Error: Lockdown limit is Zero!
501745	Parece ser bloqueado, mas você abri-lo com seus poderes divinos.	It appears to be locked, but you open it with your godly powers.
501746	Ele parece ser bloqueado.	It appears to be locked.
501747	Ele parece ser bloqueado.	It appears to be locked.
501748	Emissão de retorno de chamada.	Issuing callback.
501749	Callback recebido.	Callback received.
501750	O cadáver é nulo!	The corpse is null!
501751	luta muito ocupado para saquear.	Too busy fighting to loot.
501752	Caminhando para saquear agora.	Walking over to loot now.
501753	Vamos ver o que há para saquear!	Let's see what there is to loot!
501754	O cadáver está vazio!	The corpse is empty!
501755	Encontrado um item no intervalo válido.	Found an item in the valid range.
501756	Nada vale a pena.	Nothing worth taking.
501757	Isso foi muito divertido, eu vou fazê-lo novamente!	This was so much fun, I'm going to do it again!
501758	Eu fiz isso para o corpo, então vamos roubar!	I made it to the corpse, so let's loot!
501759	Eu vi uma morte!	I saw a death!
501760	Mas eu não era o assassino, por isso não importa.	But I wasn't the killer, so never mind.
501761	Você não pode jogar este em um item bloqueado.	You cannot cast this on a locked down item.
501762	Destino deve ser uma caixa desbloqueado.	Target must be an unlocked chest.
501763	O peito está agora bloqueada!	The chest is now locked!
501764	Hmmm ... Eu não pode bloquear isso.	Hmmm...I can't lock that.
501765	Você não pode converter isso em um ser.	You cannot cast this on a being.
501766	Você não pode jogar este em um item bloqueado.	You cannot cast this on a locked down item.
501767	Hm ... Eu não pode interceptar este item.	Hm...I can't trap this item.
501768	Comece como o sol e mover-se com o tempo. Considere um pouco antes de os elementos são colocados, para uma falta de ordem pode trazer amargura do Relvinian.	Start as the sun and move with time. Consider A FEW before the elements are placed, for a lack of order can bring Relvinian's bane.
501769	Uma vez que a tua decisão foi tomada, avance para o altar e entre as chamas pronunciar o nome do Mestre.	Once thy decision has been made, proceed to the altar and between the flames pronounce the Master's name.
501770	Você engole o peixe inteiro!	You swallow the fish whole!
501771	Você engole o peixe inteiro!	You swallow the fish whole!
501772	Você engole o peixe inteiro!	You swallow the fish whole!
501773	Você engole o peixe inteiro!	You swallow the fish whole!
501774	Você engole o peixe inteiro!	You swallow the fish whole!
501775	Essa magia já está em vigor.	This spell is already in effect.
501776	Se você estivesse mais perto, você pode ter interveio e encontraram um destino horrível!	If you had been closer, you might have stepped in and met a gruesome fate!
501777	Hmm ... você suspeitar que se você usou isso de novo, ele pode machucar.	Hmm... you suspect that if you used this again, it might hurt.
501778	Você faz uma seta e colocá-lo em sua mochila.	You make an arrow and put it in your backpack.
501779	Você faz algumas flechas e colocá-los em sua mochila.	You make some arrows and put them in your backpack.
501780	Você faz um parafuso e colocá-lo em sua mochila.	You make a bolt and put it in your backpack.
501781	Você faz alguns parafusos e colocá-los em sua mochila.	You make some bolts and put them in your backpack.
501782	Você se atrapalhar e perder algumas penas e eixos.	You fumble and lose some feathers and shafts.
501783	Você se sente resistindo energia mágica.	You feel yourself resisting magical energy.
501784	Você se sente resistindo energia mágica.	You feel yourself resisting magical energy.
501785	As terras perdidas são desconhecido, e os mapas não podem ser feitas aqui.	The lost lands are uncharted, and maps may not be made here.
501786	Selecione o mapa sobre o qual a desenhar.	Select the map upon which to draw.
501787	Este não é um mapa.	This is not a map.
501788	Você não pode substituir este mapa cuidadosamente desenhados à mão!	You cannot overwrite this carefully hand-drawn map!
501789	Você deve esperar antes de tentar novamente.	You must wait before trying again.
501790	O mapa não existe mais.	The map no longer exists.
501791	Esse mapa já foi utilizado	That map has already been used
501792	Fazendo o mapa agora.	Making the map now.
501793	Teus tremor mão resulta em um mapa inutilizável.	Thy trembling hand results in an unusable map.
501794	Com muito cuidado, farás um gráfico da geografia.	With great care, thou dost make a chart of the geography.
501795	Falha ao criar o mapa obj.	Failed to create map obj.
501796	Isso não parece funcionar.	That did not seem to work.
501797	Eu não pode marcar esse objeto.	I cannot mark that object.
501798	Eu não posso ver esse objeto.	I cannot see that object.
501799	Eu não pode marcar esse objeto.	I cannot mark that object.
501800	Você não pode marcar um objeto naquele local.	You cannot mark an object at that location.
501801	Eu não pode marcar essa runa.	I cannot mark that rune.
501802	Teu feitiço não se manifestou a trabalhar ...	Thy spell doth not appear to work...
501803	Essa runa ainda não está marcada.	That rune is not yet marked.
501804	Por favor, insira uma descrição para este objeto marcado:	Please enter a description for this marked object:
501805	Essa runa ainda não está marcada.	That rune is not yet marked.
501806	Pedido cancelado.	Request cancelled.
501807	Devido a sua habilidade excepcional, a qualidade deste produto é superior à média.	Due to your exceptional skill, this item's quality is higher than average.
501808	Você marcar o item.	You mark the item.
501809	marca cancelada.	Cancelled mark.
501810	Alvo não pode ser visto.	Target cannot be seen.
501811	Alvo não pode ser visto.	Target cannot be seen.
501812	Clique duas vezes o manequim para praticar suas habilidades de luta	Double click the dummy to practice your fighting skills
